one free haircut., COUP_HAIRC
Bumpers, CMOD_MOD_BUM
Roof, CMOD_MOD_ROF
Hood, CMOD_MOD_HOD
Improves vehicle handling, CMOD_SUS_0_D
Improves vehicle handling, CMOD_SUS_0_D
Improves vehicle handling, CMOD_SUS_0_D
Improves vehicle handling, CMOD_SUS_0_D
Improved engine cooling., CMOD_MOD_11_D
Improved engine cooling., CMOD_MOD_11_D
Improved engine cooling., CMOD_MOD_11_D
Improved engine cooling., CMOD_MOD_11_D
Custom air horns., CMOD_MOD_14_D
Custom air horns., CMOD_MOD_14_D
Custom air horns., CMOD_MOD_14_D
Custom air horns., CMOD_MOD_14_D
Custom air horns., CMOD_MOD_14_D
Custom air horns., CMOD_MOD_14_D
Custom air horns., CMOD_MOD_14_D
Custom air horns., CMOD_MOD_14_D
Increase stopping power and eliminate brake fade., CMOD_MOD_3_D
Increase stopping power and eliminate brake fade., CMOD_MOD_3_D
Increase stopping power and eliminate brake fade., CMOD_MOD_3_D
Increase stopping power and eliminate brake fade., CMOD_MOD_3_D
Custom front and rear bumpers., CMOD_MOD_4_D
Custom front and rear bumpers., CMOD_MOD_4_D
Custom front and rear bumpers., CMOD_MOD_4_D
Custom front and rear bumpers., CMOD_MOD_4_D
The internal framework of the vehicle., CMOD_MOD_5_D
The internal framework of the vehicle., CMOD_MOD_5_D
The internal framework of the vehicle., CMOD_MOD_5_D
The internal framework of the vehicle., CMOD_MOD_5_D
Enhance your vehicle's look with custom side skirts., CMOD_MOD_21_D
Enhance your vehicle's look with custom side skirts., CMOD_MOD_21_D
Enhance your vehicle's look with custom side skirts., CMOD_MOD_21_D
Enhance your vehicle's look with custom side skirts., CMOD_MOD_21_D
Customize license plate., CMOD_MOD_18_D
Customize license plate., CMOD_MOD_18_D
Customize license plate., CMOD_MOD_18_D
Customize license plate., CMOD_MOD_18_D
Improved acceleration with close ratio transmission., CMOD_MOD_26_D
Improved acceleration with close ratio transmission., CMOD_MOD_26_D
Improved acceleration with close ratio transmission., CMOD_MOD_26_D
Improved acceleration with close ratio transmission., CMOD_MOD_26_D
A selection of tinted windows., CMOD_MOD_29_D
A selection of tinted windows., CMOD_MOD_29_D
A selection of tinted windows., CMOD_MOD_29_D
A selection of tinted windows., CMOD_MOD_29_D
Bulletproof tires and custom burnout smoke., CMOD_MOD_25_D
Increases brake horsepower., CMOD_MOD_7_D
Increases brake horsepower., CMOD_MOD_7_D
Increases brake horsepower., CMOD_MOD_7_D
Increases brake horsepower., CMOD_MOD_7_D
Improved night time visibility and decorative lighting., CMOD_MOD_15_D
Bulletproof tires and custom burnout smoke., CMOD_MOD_25_D
Bulletproof tires and custom burnout smoke., CMOD_MOD_25_D
Bulletproof tires and custom burnout smoke., CMOD_MOD_25_D
Bulletproof tires and custom burnout smoke., CMOD_MOD_25_D
Bulletproof tires and custom burnout smoke., CMOD_MOD_25_D
Reduced lag turbocharger., CMOD_MOD_27_D
Customized sports exhausts., CMOD_MOD_16_D
Increase downforce., CMOD_MOD_22_D
Increase downforce., CMOD_MOD_22_D
Increase downforce., CMOD_MOD_22_D
Increase downforce., CMOD_MOD_22_D
Increase downforce., CMOD_MOD_22_D
Enhance car engine cooling., CMOD_MOD_13_D
Enhance car engine cooling., CMOD_MOD_13_D
Enhance car engine cooling., CMOD_MOD_13_D
Enhance car engine cooling., CMOD_MOD_13_D
Enhance car engine cooling., CMOD_MOD_13_D
Enhance car engine cooling., CMOD_MOD_13_D
Custom front and rear bumpers., CMOD_MOD_4_D
Custom front and rear bumpers., CMOD_MOD_4_D
Custom front and rear bumpers., CMOD_MOD_4_D
Lowered Suspension, CMOD_SUS_1
Street Suspension, CMOD_SUS_2
Sport Suspension, CMOD_SUS_3
Mesh Grille, CMOD_GRL_V_1
Custom Grille 3, CMOD_GRL_3
Custom Grille 4, CMOD_GRL_4
Custom Grille 5, CMOD_GRL_5
Street Brakes, CMOD_BRA_1
Sport Brakes, CMOD_BRA_2
Race Brakes, CMOD_BRA_3
Super Brakes, CMOD_BRA_4
Custom Front Bumper, CMOD_BUM_1
Custom Front Bumper 2, CMOD_BUM_6
Front Bumper 4, CMOD_BUM_7
Front Bumper 5, CMOD_BUM_8
Sports Chassis, CMOD_CHS_1
Performance Chassis, CMOD_CHS_2
Custom Skirts, CMOD_SKI_1
Custom Skirts 2, CMOD_SKI_3
Custom Skirts 3, CMOD_SKI_4
Custom Skirts 4, CMOD_SKI_5
Armor Upgrade 20%, CMOD_ARM_1
Armor Upgrade 40%, CMOD_ARM_2
Armor Upgrade 60%, CMOD_ARM_3
Armor Upgrade 80%, CMOD_ARM_4
Armor Upgrade 100%, CMOD_ARM_5
Blue on White 2, CMOD_PLA_1
Blue on White 3, CMOD_PLA_2
Yellow on Blue, CMOD_PLA_3
Yellow on Black, CMOD_PLA_4
Street Transmission, CMOD_GBX_1
Race Transmission, CMOD_GBX_3
Super Transmission, CMOD_GBX_4
Tinted, CMOD_WIN_4
Light Smoke, CMOD_WIN_1
Dark Smoke, CMOD_WIN_2
Limo, CMOD_WIN_3
Stock Tires, CMOD_TYR_0
EMS Upgrade, CMOD_ENG_1
EMS Upgrade, Level 2, CMOD_ENG_3
EMS Upgrade, Level 3, CMOD_ENG_4
EMS Upgrade, Level 4, CMOD_ENG_5
Xenon Lights, CMOD_LGT_1
Custom Tires, CMOD_TYR_1
Black Tire Smoke, CMOD_TYR_4
Bulletproof Tires, CMOD_TYR_2
White Tire Smoke, CMOD_TYR_3
Blue Tire Smoke, CMOD_TYR_5
Turbo Tuning, CMOD_TUR_1
Performance Exhaust, CMOD_EXH_MP_1
Custom Spoiler 1, CMOD_SPO_3
Custom Spoiler 2, CMOD_SPO_4
Custom Spoiler 3, CMOD_SPO_5
Custom Spoiler 4, CMOD_SPO_6
Custom Spoiler 5, CMOD_SPO_7
Air Intake Hood, CMOD_BON_3
Custom Front Bumper 2, CMOD_BUM_6
Front Bumper 4, CMOD_BUM_7
Front Bumper 5, CMOD_BUM_8
Empty Shop, S_N_EM
Bob Mulét Hair & Beauty, S_H_01
Herr Kutz Barber, S_H_02
Beachcombover Barbers, S_H_03
O'Sheas Barbers, S_H_04
Herr Kutz Barber, S_H_05
Hair On Hawick Barbers, S_H_06
Herr Kutz Barber, S_H_07
Discount Store, S_CL_01
Discount Store, S_CL_02
Binco Clothing, S_CL_03
Discount Store, S_CL_04
Discount Store, S_CL_05
Binco Clothing, S_CL_06
Discount Store, S_CL_07
Suburban, S_CM_01
Suburban, S_CM_03
Suburban, S_CM_04
Suburban, S_CM_05
Ponsonbys, S_CH_01
Ponsonbys, S_CH_02
Ponsonbys, S_CH_03
Vespucci Movie Masks, S_CA_01
Blazing Tattoo, S_T_01
Alamo Tattoo Studio, S_T_02
Paleto Tattoo Studio, S_T_03
The Pit, S_T_04
Los Santos Tattoos, S_T_05
Ink Inc Tattoos, S_T_06
Ammu-Nation, S_G_01
Ammu-Nation, S_G_02
Ammu-Nation, S_G_03
Ammu-Nation, S_G_04
Ammu-Nation, S_G_05
Ammu-Nation, S_G_06
Ammu-Nation, S_G_07
Ammu-Nation, S_G_08
Ammu-Nation, S_G_09
Ammu-Nation, S_G_10
Ammu-Nation, S_G_11
Los Santos Customs, S_MO_01
Los Santos Customs, S_MO_05
Los Santos Customs, S_MO_06
Beeker's Garage, S_MO_07
Los Santos Customs, S_MO_08
Benny's Original Motor Works, S_MO_09
Custom Mod Shop, S_MO_10
Custom Auto Shop, S_MO_11


CMOD_WHE4_0 = Stock Rims

CMOD_WHE4_1 = Chrome Rims
